"total_size","draw","method","accuracy","auc"
40,16,"RF",0.75,0.8125
40,16,"XGB",0.575,0.6125
40,17,"LOGIS",0.725,0.875
40,17,"SVM",0.8,0.85
40,17,"KNN",0.775,0
40,17,"RF",0.7,0.8125
40,17,"XGB",0.7,0.74375
40,18,"LOGIS",0.75,0.8375
40,18,"SVM",0.725,0.8
40,18,"KNN",0.6,0
40,18,"RF",0.725,0.8
40,18,"XGB",0.725,0.83125
40,19,"LOGIS",0.825,0.8375
40,19,"SVM",0.8,0.85
40,19,"KNN",0.675,0
40,19,"RF",0.825,0.9
40,19,"XGB",0.675,0.7125
40,20,"LOGIS",0.75,0.8625
40,20,"SVM",0.8,0.825
40,20,"KNN",0.775,0
40,20,"RF",0.775,0.8125
40,20,"XGB",0.675,0.825
40,21,"LOGIS",0.725,0.775
40,21,"SVM",0.775,0.775
40,21,"KNN",0.6,0
40,21,"RF",0.625,0.79375
40,21,"XGB",0.825,0.95
40,22,"LOGIS",0.7,0.8
40,22,"SVM",0.675,0.7375
40,22,"KNN",0.7,0
40,22,"RF",0.7,0.7125
40,22,"XGB",0.775,0.9
40,23,"LOGIS",0.75,0.8625
40,23,"SVM",0.8,0.875
40,23,"KNN",0.65,0
40,23,"RF",0.7,0.80625
40,23,"XGB",0.675,0.7875
40,24,"LOGIS",0.725,0.8
40,24,"SVM",0.775,0.8125
40,24,"KNN",0.725,0
40,24,"RF",0.7,0.7875
40,24,"XGB",0.675,0.7375
40,25,"LOGIS",0.725,0.8
40,25,"SVM",0.725,0.8
40,25,"KNN",0.75,0
40,25,"RF",0.7,0.825
40,25,"XGB",0.75,0.8625
40,26,"LOGIS",0.8,0.8375
40,26,"SVM",0.775,0.8375
40,26,"KNN",0.8,0
40,26,"RF",0.7,0.80625
40,26,"XGB",0.8,0.9
40,27,"LOGIS",0.8,0.8375
40,27,"SVM",0.8,0.875
40,27,"KNN",0.725,0
40,27,"RF",0.775,0.8625
40,27,"XGB",0.575,0.725
40,28,"LOGIS",0.775,0.7875
40,28,"SVM",0.725,0.7625
40,28,"KNN",0.675,0
40,28,"RF",0.725,0.775
40,28,"XGB",0.7,0.75
40,29,"LOGIS",0.775,0.8
40,29,"SVM",0.75,0.8
40,29,"KNN",0.675,0
40,29,"RF",0.675,0.775
40,29,"XGB",0.7,0.80625
40,30,"LOGIS",0.775,0.7625
40,30,"SVM",0.7,0.775
40,30,"KNN",0.6,0
40,30,"RF",0.7,0.75625
40,30,"XGB",0.8,0.88125
50,1,"LOGIS",0.8,0.856
50,1,"SVM",0.84,0.936
50,1,"KNN",0.72,0
50,1,"RF",0.82,0.892
50,1,"XGB",0.66,0.72
50,2,"LOGIS",0.82,0.848
50,2,"SVM",0.74,0.824
50,2,"KNN",0.78,0
50,2,"RF",0.72,0.792
50,2,"XGB",0.7,0.736
50,3,"LOGIS",0.72,0.792
50,3,"SVM",0.7,0.768
50,3,"KNN",0.66,0
50,3,"RF",0.72,0.74
50,3,"XGB",0.66,0.776
50,4,"LOGIS",0.8,0.856
50,4,"SVM",0.78,0.824
50,4,"KNN",0.74,0
50,4,"RF",0.74,0.868
50,4,"XGB",0.84,0.952
50,5,"LOGIS",0.76,0.872
50,5,"SVM",0.7,0.832
50,5,"KNN",0.74,0
50,5,"RF",0.72,0.828
50,5,"XGB",0.8,0.84
50,6,"LOGIS",0.76,0.768
50,6,"SVM",0.72,0.784
50,6,"KNN",0.7,0
50,6,"RF",0.76,0.8
50,6,"XGB",0.72,0.792
50,7,"LOGIS",0.7,0.784
50,7,"SVM",0.7,0.768
50,7,"KNN",0.64,0
50,7,"RF",0.72,0.82
50,7,"XGB",0.86,0.904
50,8,"LOGIS",0.68,0.776
50,8,"SVM",0.64,0.72
50,8,"KNN",0.68,0
50,8,"RF",0.66,0.724
50,8,"XGB",0.76,0.84
50,9,"LOGIS",0.78,0.816
50,9,"SVM",0.82,0.864
50,9,"KNN",0.72,0
50,9,"RF",0.82,0.852
50,9,"XGB",0.74,0.76
50,10,"LOGIS",0.8,0.88
50,10,"SVM",0.78,0.856
50,10,"KNN",0.78,0
50,10,"RF",0.8,0.868
50,10,"XGB",0.72,0.776
50,11,"LOGIS",0.82,0.888
50,11,"SVM",0.76,0.904
50,11,"KNN",0.66,0
50,11,"RF",0.76,0.888
50,11,"XGB",0.74,0.776
50,12,"LOGIS",0.84,0.872
50,12,"SVM",0.82,0.888
50,12,"KNN",0.8,0
50,12,"RF",0.82,0.904
50,12,"XGB",0.86,0.928
50,13,"LOGIS",0.78,0.848
50,13,"SVM",0.78,0.816
50,13,"KNN",0.72,0
50,13,"RF",0.74,0.832
50,13,"XGB",0.76,0.852
50,14,"LOGIS",0.76,0.752
50,14,"SVM",0.78,0.776
50,14,"KNN",0.76,0
50,14,"RF",0.76,0.74
50,14,"XGB",0.6,0.64
50,15,"LOGIS",0.74,0.808
50,15,"SVM",0.76,0.792
50,15,"KNN",0.68,0
50,15,"RF",0.74,0.824
50,15,"XGB",0.74,0.816
50,16,"LOGIS",0.8,0.848
50,16,"SVM",0.84,0.848
50,16,"KNN",0.76,0
50,16,"RF",0.74,0.872
50,16,"XGB",0.76,0.84
50,17,"LOGIS",0.8,0.88
50,17,"SVM",0.76,0.88
50,17,"KNN",0.72,0
50,17,"RF",0.84,0.868
50,17,"XGB",0.7,0.776
50,18,"LOGIS",0.72,0.776
50,18,"SVM",0.7,0.752
50,18,"KNN",0.6,0
50,18,"RF",0.68,0.768
50,18,"XGB",0.74,0.848
50,19,"LOGIS",0.78,0.808
50,19,"SVM",0.78,0.808
50,19,"KNN",0.7,0
50,19,"RF",0.76,0.82
50,19,"XGB",0.82,0.864
50,20,"LOGIS",0.78,0.784
50,20,"SVM",0.84,0.888
50,20,"KNN",0.72,0
50,20,"RF",0.8,0.888
50,20,"XGB",0.66,0.784
50,21,"LOGIS",0.82,0.856
50,21,"SVM",0.78,0.856
50,21,"KNN",0.72,0
50,21,"RF",0.74,0.832
50,21,"XGB",0.66,0.744
50,22,"LOGIS",0.68,0.8
