"MeanDecreaseGini","genes"
0.202367516460553,"hsa.mir.365b"
0,"hsa.mir.3660"
0,"hsa.mir.3661"
0.407037455402656,"hsa.mir.3662"
0,"hsa.mir.3663"
0.301090708729182,"hsa.mir.3664"
0,"hsa.mir.3665"
0,"hsa.mir.3666"
0.0438095238095238,"hsa.mir.3667"
0,"hsa.mir.3668"
0,"hsa.mir.367"
0,"hsa.mir.3670.1"
0,"hsa.mir.3670.2"
0,"hsa.mir.3670.3"
0,"hsa.mir.3670.4"
0,"hsa.mir.3671"
0,"hsa.mir.3672"
0,"hsa.mir.3674"
0,"hsa.mir.3675"
0.812410091997434,"hsa.mir.3677"
0.27787859885485,"hsa.mir.3678"
0.0860472860472861,"hsa.mir.3679"
0.00471830985915489,"hsa.mir.3680.1"
0.04,"hsa.mir.3680.2"
0.00633879781420759,"hsa.mir.3681"
0.101755695211233,"hsa.mir.3682"
0,"hsa.mir.3683"
0.0433155080213904,"hsa.mir.3684"
0,"hsa.mir.3685"
0,"hsa.mir.3686"
0,"hsa.mir.3687.1"
0,"hsa.mir.3687.2"
0.0841764539715672,"hsa.mir.3688.1"
0.0606300366300366,"hsa.mir.3688.2"
0,"hsa.mir.3689a"
0,"hsa.mir.3689b"
0,"hsa.mir.3689c"
0,"hsa.mir.3689d.1"
0,"hsa.mir.3689d.2"
0,"hsa.mir.3689e"
0,"hsa.mir.3689f"
0.191545822235469,"hsa.mir.369"
0.226563943540331,"hsa.mir.3690.1"
0,"hsa.mir.3690.2"
0.0762215583593739,"hsa.mir.3691"
0.0485531135531136,"hsa.mir.3692"
0.794080859620742,"hsa.mir.370"
0,"hsa.mir.3713"
0,"hsa.mir.3714"
0.0658868783508272,"hsa.mir.371a"
0.102886977756543,"hsa.mir.371b"
0.0743682013220386,"hsa.mir.372"
0.133471508883274,"hsa.mir.373"
0.34676592490175,"hsa.mir.374a"
0.464993928855368,"hsa.mir.374b"
0.0571377424003671,"hsa.mir.374c"
0.589273076568425,"hsa.mir.375"
0.235130992984662,"hsa.mir.376a.1"
